variable,count
abund_m3,2
ac_line,1
ac_sta,1
adg_412,8
adg_412_bias,8
adg_412_rmsd,8
adg_443,8
adg_443_bias,8
adg_443_rmsd,8
adg_490,8
adg_490_bias,8
adg_490_rmsd,8
adg_510,8
adg_510_bias,8
adg_510_rmsd,8
adg_555,4
adg_555_bias,4
adg_555_rmsd,4
adg_560,4
adg_560_bias,4
adg_560_rmsd,4
adg_665,4
adg_665_bias,4
adg_665_rmsd,4
adg_670,4
adg_670_bias,4
adg_670_rmsd,4
agarum_fimbriatum_adult_mean_density,1
agarum_fimbriatum_adult_stddev,1
agarum_fimbriatum_adult_stderr,1
agarum_fimbriatum_juvenile_mean_density,1
agarum_fimbriatum_juvenile_stddev,1
agarum_fimbriatum_juvenile_stderr,1
air,10
air_pressure,1
air_pressure_at_sea_level,2
air_temperature,5
airpressure,53
airpressure2,8
airpressure3,4
airt_avg,2
airtemperature,52
airtemperature2,7
airtemperature3,4
ais,1
alloclinus_holderi_mean_density,1
alloclinus_holderi_stddev,1
alloclinus_holderi_stderr,1
altitude,725
analysed_sst,6
analysis_error,9
analyzed_sst,2
anchovy_eggs,1
anom,8
apd,1
aph_412,8
aph_412_bias,8
aph_412_rmsd,8
aph_443,8
aph_443_bias,8
aph_443_rmsd,8
aph_490,8
aph_490_bias,8
aph_490_rmsd,8
aph_510,8
aph_510_bias,8
aph_510_rmsd,8
aph_555,4
aph_555_bias,4
aph_555_rmsd,4
aph_560,4
aph_560_bias,4
aph_560_rmsd,4
aph_665,4
aph_665_bias,4
aph_665_rmsd,4
aph_670,4
aph_670_bias,4
aph_670_rmsd,4
aphiaid,1
apino,1
aplysia_californica_mean_density,2
aplysia_californica_stddev,2
aplysia_californica_stderr,2
area,4
array,116
articulated_coralline_algae_mean,1
articulated_coralline_algae_stddev,1
articulated_coralline_algae_stderr,1
assp_rs,1
assp_sd,1
asterina_miniata_mean_density,1
asterina_miniata_stddev,1
asterina_miniata_stderr,1
astrangia_lajollaensis_mean,1
astrangia_lajollaensis_stddev,1
astrangia_lajollaensis_stderr,1
at,1
at_21,4
atlanticcod_presence,4
atmp,1
atot_412,8
atot_443,8
atot_490,8
atot_510,8
atot_555,4
atot_560,4
atot_665,4
atot_670,4
average_period_all_waves,1
average_wave_period,1
averaging_interval,1
avg_wind_direction,1
avg_wind_speed,1
balanophyllia_elegans_mean,1
balanophyllia_elegans_stddev,1
balanophyllia_elegans_stderr,1
balanus_spp_mean,1
balanus_spp_stddev,1
balanus_spp_stderr,1
bar,1
bare_substrate_mean,1
bare_substrate_stddev,1
bare_substrate_stderr,1
barometer,1
batt,4
bbcsvfile,1
bbid,1
bbnetcdffile,1
bbp_412,8
bbp_443,8
bbp_490,8
bbp_510,8
bbp_555,4
bbp_560,4
bbp_665,4
bbp_670,4
behav_code,1
bf_191,4
bin,1
blackgrouper_detection_count,1
blank,1
block,1
blueshark,1
bluesharktrk,1
bluewhale_presence,22
board_id,5
bottle_posn,1
bottom_d,1
bottom_depth,3
bp,1
bp_915,4
bp_avg,2
brac,1
brac_mean,1
brac_rs,1
brac_sd,2
btl_cnt,2
btlnum,1
bucket_salinity,1
bucket_temperature,1
c14a1p,1
c14a1q,1
c14a2p,1
c14a2q,1
c14as1,1
c14as2,1
c1_chlorophyll,1
c2_cdom,1
c3_,1
c3_phycoerythrin,1
c_qc,1
caau,1
caau_amphipods,1
caau_eupahusiids,1
caau_mean,1
caau_mysiids,1
caau_other,1
caau_pices,1
caau_rs,1
caau_sd,2
calcofi_species_code,37
callsign,1
cast,1
cast_id,1
cast_no,2
cast_type,1
catch,1
cd,1
cd_310,4
cdom,22
cellular_domoic,8
centrostephanus_coronatus_mean_density,1
centrostephanus_coronatus_stddev,1
centrostephanus_coronatus_stderr,1
cflh,3
channel_1,2
chl,4
chl_a_10um,1
chl_a_total,1
chl_dev,1
chl_oci,1
chl_time,1
chla,18
chla_anomaly,2
chla_filled,8
chlor_a,18
chlor_a_log10_bias,8
chlor_a_log10_rmsd,8
chlora,1
chloro,1
chlorophyll,85
chlqua,1
chlrfu,4
chromis_punctipinnis_adult,1
chromis_punctipinnis_juvenile,1
cic_7300,4
civil_t,1
cldc,8
cloud_amt,1
cloud_typ,1
cloudmask,6
cn,3
cobble_mean,1
cobble_stddev,1
cobble_stderr,1
cog,1
collection,3
comments,4
common_name,40
commonname,1
comu,1
comu_anchovysardine,1
comu_mean,1
comu_other,1
comu_rockfish,1
comu_rs,1
comu_sd,2
cond,6
conductivity,48
correlation_magnitude_beam1,1
correlation_magnitude_beam2,1
correlation_magnitude_beam3,1
correlation_magnitude_beam4,1
corynactis_californica_mean,1
corynactis_californica_stddev,1
corynactis_californica_stderr,1
coryphopterus_nicholsii_mean_density,1
coryphopterus_nicholsii_stddev,1
coryphopterus_nicholsii_stderr,1
counter_id,2
county,1
crassedoma_giganteum_mean_density,2
crassedoma_giganteum_stddev,2
crassedoma_giganteum_stderr,2
cruise,49
cruise_id,58
cruise_type,1
cruz_leg,1
cruz_num,1
cruz_sta,1
crw_baa,1
crw_baa_7d_max,1
crw_baa_7d_max_mask,1
crw_baa_mask,1
crw_dhw,1
crw_dhw_mask,1
crw_hotspot,1
crw_hotspot_mask,1
crw_seaice,1
crw_sst,1
crw_sstanomaly,1
crw_sstanomaly_mask,1
cs,1
cs_300,4
cst_cnt,3
ctd,1
ctd_index,3
ctd_make_model,1
ctd_no,2
curl,50
cypraea_spadicea_mean_density,1
cypraea_spadicea_stddev,1
cypraea_spadicea_stderr,1
cystoseira_spp_mean,1
cystoseira_spp_stddev,1
cystoseira_spp_stderr,1
d_n_flag,2
d_qc,1
damalichthys_vacca_adult,1
damalichthys_vacca_juvenile,1
darkap,1
darkaq,1
darkas,1
data_or,1
data_type,1
date,2
dateestablished,17
datum,8
datum_id,1
dayofyear,1
dbsta_id,1
dcco,1
dcp,9
debris,2
density,3
deployment,16
depth,154
depth_id,2
depth_strata,1
depthm,1
depthofmeasurement,1
depthreferencepoint,1
description,2
desired_heading,1
desmarestia_spp_mean,1
desmarestia_spp_stddev,1
desmarestia_spp_stderr,1
dewp,1
dewtemperature,2
dewtemperature2,1
dhw,2
diaperoecia_californica_mean,1
diaperoecia_californica_stddev,1
diaperoecia_californica_stderr,1
dic1,1
dic2,1
dic_7071,8
diopatra_ornata_mean,1
diopatra_ornata_stddev,1
diopatra_ornata_stderr,1
direction_of_sea_water_velocity,3
direction_of_significant_waves,1
dissolved_o_uncalibrated,1
distance,1
distance_over_ground,1
divw,40
dlwrfsfc,1
dominant_wave_period,3
dopx,11
dopy,11
dpd,1
drillertotaldepth,1
dry_t,1
dswrfsfc,1
dt_analysis,6
dyn_13,4
dyn_hgt,1
dynamic_height,1
e_250,4
eastcurrent,26
echo_intensity_beam1,1
echo_intensity_beam2,1
echo_intensity_beam3,1
echo_intensity_beam4,1
ecocast,1
edges,1
effort_type,1
egg_count,2
egg_stage,1
egg_stage_count,1
eggs_1000m3,3
eggs_10m2,3
eisenia_arborea_adult_mean_density,1
eisenia_arborea_adult_stddev,1
eisenia_arborea_adult_stderr,1
eisenia_arborea_all_mean,1
eisenia_arborea_all_mean_density,1
eisenia_arborea_all_stddev,2
eisenia_arborea_all_stderr,2
eisenia_arborea_juvenile_mean_density,1
eisenia_arborea_juvenile_stddev,1
eisenia_arborea_juvenile_stderr,1
eke_time,1
ektrx,6
ektry,6
elapsedtime,2
elevation,1
elevationgl,1
embiotoca_jacksoni_adult,1
embiotoca_jacksoni_juvenile,1
embiotoca_lateralis_adult,1
embiotoca_lateralis_juvenile,1
emp,2
emp_251,4
encrusting_coralline_algae_mean,1
encrusting_coralline_algae_stddev,1
encrusting_coralline_algae_stderr,1
end_time,1
err,8
error_velocity,1
event_num,1
expocode,53
ext,1
f,2
facility,53
feed_version,7
female,1
field,1
filetype,3
finwhale_presence,22
fish,4
flag,53
flag_a,1
flag_b,1
flag_c,1
flag_d,1
flag_e,1
flag_f,1
flag_g,1
flag_h,1
flag_i,1
flag_j,1
flag_k,1
flag_l,1
flight_dir,1
fluor_v,1
fluor_volt,1
fluorescence,24
fm,1
fo,1
forelu,1
fork_length,1
formationtd,1
frequency,147
front,10
fv,1
gear_area,1
gear_area_m2,1
gear_mesh,2
gear_type,2
gelidium_spp_mean,1
gelidium_spp_stddev,1
gelidium_spp_stderr,1
genus_species,2
geop_ht_isobaric,6
gigartina_spp_mean,1
gigartina_spp_stddev,1
gigartina_spp_stderr,1
girella_nigricans_adult,1
girella_nigricans_juvenile,1
graphics,20
green_algae_mean,1
green_algae_stddev,1
green_algae_stderr,1
gst,1
hake_eggs,1
halichoeres_semicinctus_female,1
halichoeres_semicinctus_male,1
haliotis_corrugata_mean_density,1
haliotis_corrugata_stddev,1
haliotis_corrugata_stderr,1
haliotis_fulgens_mean_density,1
haliotis_fulgens_stddev,1
haliotis_fulgens_stderr,1
haliotis_rufescens_mean_density,2
haliotis_rufescens_stddev,2
haliotis_rufescens_stderr,2
haul,3
haul_no,1
haulback_time,1
hdop,11
head_c,1
headeruri,1
heading,1
height_above_ground,4
hots,2
hourly_precip,1
htc_130,4
htc_5130,4
humpbackwhale_detection_proportion,2
hydroids_mean,1
hydroids_stddev,1
hydroids_stderr,1
hypsypops_rubicundus_adult,1
hypsypops_rubicundus_juvenile,1
i,3
ice,12
id,54
imo,53
imported,1
inc_end,1
inc_str,1
inctim,1
inst_sn,1
institution,1
intc14,1
intchl,1
intp,1
