variable,count
air_pressure,4028
air_pressure_10011met_a,2
air_pressure_10311ahlm_a,2
air_pressure_10311ahlm_a_qc_agg,1
air_pressure_10311ahlm_a_qc_tests,1
air_pressure_10311bhlm_a,1
air_pressure_10311chlm_a,2
air_pressure_10311chlm_a_qc_agg,1
air_pressure_10311chlm_a_qc_tests,1
air_pressure_10311dhlm_a,2
air_pressure_10311dhlm_a_qc_agg,1
air_pressure_10311dhlm_a_qc_tests,1
air_pressure_10601hwlb_a,1
air_pressure_10701hwlb_a,1
air_pressure_10721hwlb_a,1
air_pressure_10731hwlb_a,1
air_pressure_10741hwlb_a,1
air_pressure_10751hwlb_a,1
air_pressure_10861hwlb_a,1
air_pressure_10871hwlb_a,1
air_pressure_10921hwlb_a,1
air_pressure_10941hwlb_a,1
air_pressure_10961hwlb_a,1
air_pressure_10991bhwlb_a,1
air_pressure_10991chwlb_a,1
air_pressure_10991dhwlb_a,1
air_pressure_11041ahwlb_a,1
air_pressure_11041bhwlb_a,1
air_pressure_11041dhwlb_a,1
air_pressure_11071ahwlb_a,1
air_pressure_11111met_a,1
air_pressure_7601amet_a,2
air_pressure_7601bmet_a,2
air_pressure_8451met_a,1
air_pressure_8451met_a_qc_agg,1
air_pressure_8451met_a_qc_tests,1
air_pressure_9191met_a,2
air_pressure_938meta_a,2
air_pressure_938meta_a_qc_agg,1
air_pressure_938meta_a_qc_tests,1
air_pressure_938metb_a,2
air_pressure_938metb_a_qc_agg,1
air_pressure_938metb_a_qc_tests,1
air_pressure_9461hwlb_a,2
air_pressure_9471hwlb_a,2
air_pressure_9511hwlb_a,2
air_pressure_9521ahlm_a,2
air_pressure_9521ahlm_a_qc_agg,1
air_pressure_9521ahlm_a_qc_tests,1
air_pressure_9521bhlm_a,2
air_pressure_9521bhlm_a_qc_agg,1
air_pressure_9521bhlm_a_qc_tests,1
air_pressure_9521hlm_all_a,2
air_pressure_9521hlm_all_a_qc_agg,1
air_pressure_9521hlm_all_a_qc_tests,1
air_pressure_9651hwlb_a,2
air_pressure_9761hwl_a,1
air_pressure_9851met_a,2
air_pressure_at_mean_sea_level,359
air_pressure_at_mean_sea_level_qc_agg,6
air_pressure_at_mean_sea_level_qc_tests,6
air_pressure_geoid_navd88,64
air_pressure_qc_agg,192
air_pressure_qc_tests,192
air_temperature,6307
air_temperature_1,2
air_temperature_10011met_a,2
air_temperature_10311ahlm_a,2
air_temperature_10311ahlm_a_qc_agg,1
air_temperature_10311ahlm_a_qc_tests,1
